 
 ~~~~~~~~~~~~~~~~~~~ жПуМх╚ф╚╡Н ~~~~~~~~~~~~~~~~~~~~
         юОЁл/m  ╣Вг╟╦ъЁл/mm  ╣Вг╟ф╫цФ/mm  ╣Вг╟к╝ф╫/mm  ╣Вг╟╧Л╬Ю/mm  ╣╪оР╧Л  ╣ВвС╧Л╦ъ/mm  ╣Вср╧Л╦ъ/mm  ╣ВвСф╫цФ/mm  ╣Всрф╫цФ/mm   ╣В╨С╦ъЁл/mm  ╣В╨Сф╫цФ/mm  ╣В╨Ск╝ф╫/mm  ╣В╨С╧Л╬Ю/mm  иХ╪фЁ╛╦ъ/mm
      1910.534        1.959       -1.069        3.000         .152     ср          1.114       -1.886        -.766        -.918         .072        -.151           0.           0.         .000
      1911.134        1.708       -2.355        2.668         .632     ср          1.035       -1.634       -1.570       -2.202         .075        -.153           0.           0.         .000
      1911.733        1.595       -3.235        2.400         .811     ср           .883       -1.517       -2.269       -3.080         .078        -.155           0.           0.         .000
      1912.332        1.621       -3.497        2.400         .509     ср           .859       -1.541       -2.832       -3.341         .080        -.157           0.           0.         .000
      1912.931        1.592       -3.473        2.400         .030     ср           .891       -1.509       -3.285       -3.315         .083        -.159           0.           0.         .000
      1913.531        1.165       -3.438        2.400        -.100     ср          1.321       -1.079       -3.378       -3.278         .085        -.160           0.           0.         .000
      1914.130         .685       -3.371        2.370         .230     ср          1.773        -.597       -2.979       -3.209         .088        -.162           0.           0.         .000
      1914.729         .474       -3.085        2.300         .609     ср          1.917        -.383       -2.312       -2.921         .091        -.164           0.           0.         .000
      1915.328         .111       -2.670        2.300         .900     ср          2.283        -.017       -1.604       -2.504         .093        -.166           0.           0.         .000
      1915.928        -.196       -2.082        2.400         .700     ср          2.692         .292       -1.214       -1.914         .096        -.168           0.           0.         .000
      1916.527        -.844       -1.694        2.252         .252     ср          3.194         .943       -1.272       -1.524         .099        -.170           0.           0.         .000
      1917.126       -1.351       -1.530        2.072         .000     ср          3.525        1.453       -1.358       -1.358         .101        -.172           0.           0.         .000
      1917.726       -1.813       -1.560        1.900        -.100     ср          3.817        1.917       -1.486       -1.386         .104        -.174           0.           0.         .000
      1918.325       -1.859       -1.534        1.800        -.100     ср          3.766        1.966       -1.458       -1.358         .107        -.176           0.           0.         .000
      1918.924       -1.721       -1.294        1.867         .167     ср          3.696        1.830        -.950       -1.116         .109        -.178           0.           0.         .000
      1919.523       -1.527        -.823        1.800         .000     ср          3.439        1.639        -.643        -.643         .112        -.180           0.           0.         .000
      1920.123       -1.528        -.460        1.800         .074     ср          3.443        1.643        -.205        -.279         .114        -.181           0.           0.         .000
      1920.722       -1.659        -.005        1.700        -.300     ср          3.476        1.776        -.122         .178         .117        -.183           0.           0.         .000
      1921.321       -1.380         .481        1.500        -.700     ср          3.000        1.500        -.033         .667         .120        -.186           0.           0.         .000
      1921.920       -1.209         .858        1.036        -.800     ср          2.367        1.331         .246        1.046         .122        -.188           0.           0.         .000
      1922.520       -1.026        1.201         .700        -.612     ср          1.851        1.151         .779        1.391         .125        -.190           0.           0.         .000
      1923.119        -.959        1.305         .700        -.077     ср          1.787        1.087        1.421        1.498         .128        -.193           0.           0.         .000
      1923.718        -.920        1.342         .800         .103     ср          1.850        1.050        1.640        1.537         .130        -.195           0.           0.         .000
      1924.317        -.878        1.253        1.000         .100     ср          2.011        1.011        1.551        1.451         .133        -.197           0.           0.         .000
      1924.917        -.642        1.484        1.100         .038     ср          1.877         .777        1.722        1.684         .135        -.200           0.           0.         .000
      1925.516        -.378        1.621        1.200         .300     ср          1.716         .516        2.123        1.823         .138        -.202           0.           0.         .000
      1926.115        -.295        1.459        1.100         .700     ср          1.536         .436        2.364        1.664         .141        -.204           0.           0.         .000
      1926.715        -.093        1.420        1.000         .900     ср          1.236         .236        2.526        1.626         .143        -.207           0.           0.         .000
      1927.314         .030        1.435         .900         .900     ср          1.016         .116        2.544        1.644         .146        -.209           0.           0.         .000
      1927.913         .128        1.613         .900         .700     ср           .921         .021        2.524        1.824         .149        -.211           0.           0.         .000
      1928.512         .176        1.843        1.000         .500     ср           .975        -.025        2.557        2.057         .151        -.214           0.           0.         .000
      1929.112         .170        1.847        1.000         .500     ср           .984        -.016        2.563        2.063         .154        -.216           0.           0.         .000
      1929.711         .136        1.624        1.000         .300     ср          1.020         .020        2.143        1.843         .157        -.218           0.           0.         .000
      1930.310         .179        1.404        1.000         .300     ср           .980        -.020        1.925        1.624         .159        -.221           0.           0.         .000
      1930.909         .261        1.695        1.058        -.100     ср           .958        -.099        1.818        1.918         .162        -.223           0.           0.         .000
      1931.509         .318        2.137        1.137        -.500     ср           .984        -.153        1.862        2.362         .164        -.225           0.           0.         .000
      1932.108         .351        2.473        1.200        -.717     ср          1.016        -.184        1.984        2.700         .167        -.228           0.           0.         .000
      1932.707         .375        2.372        1.100        -.704     ср           .895        -.205        1.898        2.602         .170        -.230           0.           0.         .000
      1933.306         .342        2.143        1.100        -.424     ср           .930        -.170        1.951        2.376         .172        -.232           0.           0.         .000
      1933.906         .266        2.089        1.200        -.400     ср          1.109        -.091        1.923        2.323         .175        -.235           0.           0.         .000
      1934.505         .122        2.210        1.435        -.600     ср          1.490         .056        1.848        2.447         .178        -.237           0.           0.         .000
      1935.104         .162        2.421        1.500        -.800     ср          1.519         .019        1.861        2.661         .180        -.239           0.           0.         .000
      1935.704         .160        2.231        1.500        -.806     ср          1.523         .023        1.667        2.473         .183        -.242           0.           0.         .000
      1936.303         .322        1.900        1.227        -.627     ср          1.090        -.137        1.518        2.144         .185        -.244           0.           0.         .000
      1936.902         .335        1.365         .947        -.147     ср           .800        -.147        1.464        1.611         .188        -.246           0.           0.         .000
      1937.501         .514        1.088         .667         .300     ср           .342        -.325        1.637        1.337         .188        -.249           0.           0.         .000
      1938.101         .506         .890         .512         .500     ср           .172        -.340        1.641        1.141         .166        -.251           0.           0.         .000
      1938.700         .664         .941         .700         .883     ср           .178        -.522        2.077        1.194         .143        -.253           0.           0.         .000
      1939.299         .693        1.040        1.071         .900     ср           .498        -.573        2.196        1.296         .120        -.256           0.           0.         .000
      1939.898         .790         .830        1.451        1.049     ср           .758        -.693        2.137        1.088         .097        -.258           0.           0.         .000
      1940.498        1.150         .464        1.800         .900     ср           .724       -1.076        1.624         .724         .074        -.260           0.           0.         .000
      1941.097        1.029         .032        2.010         .600     ср          1.032        -.978         .895         .295         .051        -.263           0.           0.         .000
      1941.696        1.153        -.245        2.290         .500     ср          1.165       -1.125         .520         .020         .028        -.265           0.           0.         .000
      1942.295        1.018        -.205        2.569         .500     ср          1.556       -1.013         .562         .062         .005        -.267           0.           0.         .000
      1942.890        1.250        -.057        2.700         .200     ср          1.433       -1.267         .413         .213        -.017        -.270           0.           0.         .000
