 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      1855.073       -1.511        -.166         .500        -.589     ×ó          1.563        1.063        -.582         .007         .052         .416           0.           0.         .000
      1855.667       -1.461        -.240         .600         .191     ×ó          1.514         .914        -.661        -.852         .053         .420           0.           0.         .000
      1856.262       -1.124        -.484         .579         .600     ×ó          1.178         .598        -.908       -1.508         .053         .425           0.           0.         .000
      1856.856        -.835       -1.055         .400         .107     ×ó           .889         .489       -1.484       -1.591         .054         .429           0.           0.         .000
      1857.450        -.381       -1.581         .128        -.543     ×ó           .436         .307       -2.015       -1.471         .054         .434           0.           0.         .000
      1858.045        -.152       -1.896        -.247        -.800     ×ó           .207         .454       -2.334       -1.534         .055         .438           0.           0.         .000
      1858.639         .092       -1.957        -.500        -.778     ×ó          -.037         .463       -2.400       -1.622         .055         .443           0.           0.         .000
      1859.233         .219       -1.847        -.600        -.500     ×ó          -.163         .437       -2.295       -1.795         .056         .447           0.           0.         .000
      1859.828         .467       -1.458        -.527        -.400     ×ó          -.410         .117       -1.910       -1.510         .057         .452           0.           0.         .000
      1860.422         .674        -.923        -.352        -.600     ×ó          -.617        -.266       -1.379        -.779         .057         .456           0.           0.         .000
      1861.016         .665        -.293         .024        -.600     ×ó          -.608        -.631        -.754        -.154         .058         .461           0.           0.         .000
      1861.611         .718         .253         .399        -.201     ×ó          -.660       -1.059        -.212        -.012         .058         .465           0.           0.         .000
      1862.205         .769         .638         .674         .449     ×ó          -.710       -1.385         .168        -.281         .059         .470           0.           0.         .000
      1862.799         .720         .481         .800         .700     ×ó          -.660       -1.460         .007        -.693         .059         .474           0.           0.         .000
      1863.393         .528         .147         .800         .475     ×ó          -.468       -1.268        -.332        -.807         .060         .479           0.           0.         .000
      1863.988         .295        -.131         .700        -.200     ×ó          -.234        -.934        -.615        -.414         .061         .483           0.           0.         .000
      1864.582        -.033        -.660         .524        -.600     ×ó           .094        -.430       -1.148        -.548         .061         .488           0.           0.         .000
      1865.177        -.238       -1.110         .300        -.700     ×ó           .302         .002       -1.602        -.902         .064         .492           0.           0.         .000
      1865.771        -.328       -1.437        -.027        -.573     ×ó           .369         .395       -1.934       -1.361         .040         .497           0.           0.         .000
      1866.366        -.204       -1.631        -.402        -.400     ×ó           .221         .623       -2.133       -1.733         .016         .502           0.           0.         .000
      1866.960        -.185       -1.500        -.700        -.378     ×ó           .178         .878       -2.006       -1.628        -.007         .506           0.           0.         .000
      1867.554        -.273        -.995        -.800        -.500     ×ó           .241        1.041       -1.505       -1.005        -.031         .511           0.           0.         .000
      1868.149        -.172        -.365        -.800        -.500     ×ó           .116         .916        -.880        -.380        -.055         .515           0.           0.         .000
      1868.743        -.286        -.133        -.700        -.200     ×ó           .207         .907        -.653        -.453        -.079         .520           0.           0.         .000
      1869.338        -.513         .010        -.700         .079     ×ó           .410        1.110        -.514        -.594        -.103         .524           0.           0.         .000
      1869.932        -.598         .139        -.600         .255     ×ó           .471        1.071        -.389        -.644        -.127         .529           0.           0.         .000
      1870.527        -.497         .268        -.500         .400     ×ó           .346         .846        -.265        -.665        -.151         .533           0.           0.         .000
      1871.121        -.393         .438        -.294         .300     ×ó           .219         .513        -.100        -.400        -.174         .538           0.           0.         .000
      1871.715        -.120         .468         .100         .100     ×ó          -.078        -.178        -.075        -.175        -.198         .542           0.           0.         .000
      1872.310         .312         .070         .400        -.100     ×ó          -.534        -.934        -.477        -.377        -.222         .547           0.           0.         .000
      1872.904         .556        -.309         .600        -.068     ×ó          -.802       -1.402        -.861        -.793        -.246         .551           0.           0.         .000
      1873.499         .893        -.380         .800         .108     ×ó         -1.163       -1.963        -.936       -1.044        -.270         .556           0.           0.         .000
