 
 ~~~~~~~~~~~~~~~~~~~ ÖðÕíÈ«Æ«²î ~~~~~~~~~~~~~~~~~~~~
         Àï³Ì/m  µ÷Ç°¸ß³Ì/mm  µ÷Ç°Æ½Ãæ/mm  µ÷Ç°Ë®Æ½/mm  µ÷Ç°¹ì¾à/mm  µ¼Ïò¹ì  µ÷×ó¹ì¸ß/mm  µ÷ÓÒ¹ì¸ß/mm  µ÷×óÆ½Ãæ/mm  µ÷ÓÒÆ½Ãæ/mm   µ÷ºó¸ß³Ì/mm  µ÷ºóÆ½Ãæ/mm  µ÷ºóË®Æ½/mm  µ÷ºó¹ì¾à/mm  Éè¼Æ³¬¸ß/mm
      4596.070        -.454       -6.129        1.700         .509     ×ó          3.214        1.514        -.522       -1.031        2.759       -5.607           0.           0.     -120.000
      4596.663        -.078       -5.490        1.884         .784     ×ó          2.872         .988         .099        -.686        2.794       -5.589           0.           0.     -120.000
      4597.255         .093       -4.903        2.059        1.000     ×ó          2.736         .677         .667        -.333        2.829       -5.570           0.           0.     -120.000
      4597.847         .111       -4.410        2.200         .800     ×ó          2.753         .553        1.142         .342        2.864       -5.552           0.           0.     -120.000
      4598.440         .384       -3.964        2.200         .291     ×ó          2.514         .314        1.569        1.278        2.898       -5.533           0.           0.     -119.900
      4599.032         .670       -3.862        2.200        -.084     ×ó          2.263         .063        1.653        1.736        2.933       -5.515           0.           0.     -120.000
      4599.625         .908       -3.777        1.941        -.458     ×ó          2.060         .118        1.719        2.178        2.968       -5.496           0.           0.     -120.000
      4600.217         .908       -3.849        1.467        -.833     ×ó          2.095         .629        1.629        2.463        3.003       -5.478           0.           0.     -120.000
      4600.810         .808       -4.422        1.000        -.900     ×ó          2.229        1.229        1.038        1.938        3.038       -5.460           0.           0.     -120.000
      4601.402         .496       -5.077         .800        -.517     ×ó          2.577        1.777         .365         .881        3.072       -5.441           0.           0.     -120.000
      4601.994        -.011       -5.546         .800         .332     ×ó          3.118        2.318        -.123        -.455        3.107       -5.423           0.           0.     -120.000
      4602.587        -.067       -5.601         .933        1.500     ×ó          3.210        2.277        -.197       -1.697        3.142       -5.404           0.           0.     -120.000
      4603.192        -.089       -5.668        1.118        1.600     ×ó          3.267        2.149        -.282       -1.882        3.178       -5.386           0.           0.     -120.000
      4603.797        -.058       -5.563        1.303        2.303     ×ó          3.271        1.969        -.196       -2.499        3.213       -5.367           0.           0.     -120.000
      4604.402         .077       -5.449        1.500        2.700     ×ó          3.171        1.671        -.101       -2.801        3.249       -5.348           0.           0.     -120.000
      4605.007         .412       -5.359        1.700        2.727     ×ó          2.872        1.172        -.030       -2.757        3.284       -5.329           0.           0.     -120.000
      4605.612         .830       -4.960        1.758        2.242     ×ó          2.490         .732         .350       -1.892        3.320       -5.310           0.           0.     -120.000
      4606.217        1.392       -4.736        1.800        1.457     ×ó          1.964         .164         .555        -.902        3.355       -5.291           0.           0.     -120.000
      4606.822        2.158       -4.495        1.772         .972     ×ó          1.233        -.539         .778        -.194        3.391       -5.273           0.           0.     -120.000
      4607.427        3.023       -4.444        1.700         .587     ×ó           .404       -1.296         .810         .222        3.427       -5.254           0.           0.     -120.000
      4608.032        3.729       -4.471        1.502         .302     ×ó          -.267       -1.770         .764         .462        3.462       -5.235           0.           0.     -120.000
      4608.637        4.192       -4.748        1.317         .200     ×ó          -.694       -2.012         .468         .268        3.498       -5.216           0.           0.     -120.000
      4609.242        4.649       -5.076        1.200         .300     ×ó         -1.116       -2.316         .121        -.179        3.533       -5.197           0.           0.     -120.000
      4609.847        4.859       -5.370        1.100         .200     ×ó         -1.291       -2.391        -.192        -.391        3.569       -5.179           0.           0.     -120.000
      4610.452        5.249       -5.801         .900         .000     ×ó         -1.645       -2.545        -.641        -.641        3.604       -5.160           0.           0.     -120.000
      4611.057        5.617       -5.924         .600        -.300     ×ó         -1.977       -2.577        -.783        -.483        3.640       -5.141           0.           0.     -120.000
      4611.662        5.941       -6.012         .400        -.600     ×ó         -2.265       -2.665        -.890        -.290        3.675       -5.122           0.           0.     -120.000
      4612.267        6.010       -6.107         .300        -.408     ×ó         -2.299       -2.599       -1.004        -.596        3.711       -5.103           0.           0.     -120.000
      4612.872        6.006       -6.342         .400        -.300     ×ó         -2.259       -2.659       -1.257        -.957        3.747       -5.084           0.           0.     -120.000
      4613.477        6.200       -6.273         .500        -.300     ×ó         -2.418       -2.918       -1.207        -.907        3.782       -5.066           0.           0.     -120.000
      4614.082        6.229       -5.715         .600        -.153     ×ó         -2.411       -3.011        -.669        -.516        3.818       -5.047           0.           0.     -120.000
      4614.687        6.325       -5.246         .900         .200     ×ó         -2.471       -3.371        -.218        -.418        3.853       -5.028           0.           0.     -120.100
      4615.292        6.431       -4.583         .817         .300     ×ó         -2.542       -3.359         .426         .126        3.889       -5.009           0.           0.     -120.000
      4615.897        6.299       -4.295         .900         .296     ×ó         -2.374       -3.274         .695         .399        3.924       -4.990           0.           0.     -120.000
      4616.502        6.365       -4.154         .900        -.287     ×ó         -2.405       -3.305         .817        1.104        3.960       -4.971           0.           0.     -120.000
      4617.107        6.339       -4.089        1.072        -.684     ×ó         -2.343       -3.415         .864        1.548        3.995       -4.953           0.           0.     -120.000
      4617.712        6.329       -3.708        1.257        -.600     ×ó         -2.298       -3.555        1.226        1.826        4.031       -4.934           0.           0.     -120.000
      4618.317        6.028       -3.442        1.500        -.258     ×ó         -1.962       -3.462        1.473        1.731        4.067       -4.915           0.           0.     -120.000
      4618.922        6.095       -3.544        1.800         .000     ×ó         -1.993       -3.793        1.352        1.352        4.102       -4.896           0.           0.     -120.000
      4619.527        6.163       -3.502        2.112         .088     ×ó         -2.025       -4.137        1.376        1.288        4.138       -4.877           0.           0.     -120.000
      4620.132        6.259       -3.541        2.497         .000     ×ó         -2.086       -4.582        1.317        1.317        4.173       -4.859           0.           0.     -120.000
      4620.737        6.260       -3.478        2.882        -.182     ×ó         -2.051       -4.933        1.361        1.543        4.209       -4.840           0.           0.     -120.000
      4621.342        6.027       -3.711        3.000        -.467     ×ó         -1.782       -4.782        1.109        1.576        4.244       -4.821           0.           0.     -120.000
      4621.947        5.992       -3.916        3.000        -.752     ×ó         -1.712       -4.712         .886        1.638        4.280       -4.802           0.           0.     -120.000
      4622.552        6.055       -4.394        2.800       -1.000     ×ó         -1.740       -4.540         .389        1.389        4.315       -4.783           0.           0.     -120.000
      4623.157        6.357       -4.684        2.578       -1.000     ×ó         -2.006       -4.584         .080        1.080        4.351       -4.764           0.           0.     -120.000
      4623.762        6.426       -4.954        2.300        -.993     ×ó         -2.039       -4.339        -.209         .785        4.387       -4.746           0.           0.     -120.000
      4624.368        6.481       -5.063        2.300        -.800     ×ó         -2.059       -4.359        -.336         .464        4.422       -4.727           0.           0.     -120.100
      4624.972        6.706       -5.058        2.100        -.600     ×ó         -2.249       -4.349        -.350         .250        4.458       -4.708           0.           0.     -120.000
      4625.578        6.838       -4.964        2.100        -.138     ×ó         -2.345       -4.445        -.274        -.136        4.493       -4.689           0.           0.     -120.000
      4626.182        7.088       -4.386        2.200         .347     ×ó         -2.559       -4.759         .284        -.063        4.529       -4.670           0.           0.     -120.000
      4626.788        7.247       -3.912        2.300         .932     ×ó         -2.682       -4.982         .739        -.192        4.564       -4.652           0.           0.     -120.000
      4627.393        7.701       -3.383        2.200        1.300     ×ó         -3.101       -5.301        1.250        -.050        4.600       -4.633           0.           0.     -120.000
      4627.998        8.051       -3.371        2.000        1.400     ×ó         -3.416       -5.416        1.243        -.157        4.635       -4.614           0.           0.     -120.000
      4628.603        8.480       -2.984        1.613        1.513     ×ó         -3.809       -5.423        1.611         .098        4.671       -4.595           0.           0.     -120.000
      4629.193        8.878       -2.636        1.141        1.600     ×ó         -4.172       -5.313        1.940         .340        4.706       -4.577           0.           0.     -120.000
      4629.782        9.045       -2.636         .568        1.468     ×ó         -4.305       -4.873        1.935         .467        4.740       -4.571           0.           0.     -120.000
      4630.372        9.326       -2.748        -.105         .995     ×ó         -4.551       -4.445        1.819         .824        4.775       -4.566           0.           0.     -120.000
      4630.962        9.411       -3.239        -.678         .422     ×ó         -4.602       -3.924        1.322         .899        4.810       -4.561           0.           0.     -120.000
      4631.552        9.396       -3.630       -1.051         .200     ×ó         -4.552       -3.501         .926         .726        4.844       -4.556           0.           0.     -120.000
      4632.142        9.146       -3.945       -1.000         .824     ×ó         -4.267       -3.267         .605        -.218        4.879       -4.551           0.           0.     -120.000
      4632.732        8.396       -3.882        -.803         .610     ×ó         -3.482       -2.678         .663         .053        4.914       -4.545           0.           0.     -120.000
      4633.322        7.968       -4.272        -.631        -.069     ×ó         -3.020       -2.389         .268         .337        4.948       -4.540           0.           0.     -120.000
      4633.912        7.573       -4.970        -.600        -.058     ×ó         -2.590       -1.990        -.435        -.377        4.983       -4.535           0.           0.     -120.000
      4634.501        7.276       -5.624        -.615         .100     ×ó         -2.259       -1.644       -1.094       -1.194        5.018       -4.530           0.           0.     -120.000
      4635.091        7.005       -6.253        -.600         .288     ×ó         -1.953       -1.353       -1.728       -2.016        5.052       -4.524           0.           0.     -120.000
      4635.681        6.771       -6.711        -.500         .700     ×ó         -1.684       -1.184       -2.191       -2.891        5.087       -4.519           0.           0.     -120.000
      4636.271        6.712       -7.017        -.266         .967     ×ó         -1.591       -1.324       -2.503       -3.469        5.122       -4.514           0.           0.     -120.000
      4636.861        6.772       -7.291         .000         .794     ×ó         -1.616       -1.616       -2.782       -3.576        5.156       -4.509           0.           0.     -120.000
      4637.451        6.906       -7.609         .100         .342     ×ó         -1.715       -1.815       -3.106       -3.447        5.191       -4.504           0.           0.     -120.000
      4638.041        7.159       -7.702         .200        -.052     ×ó         -1.933       -2.133       -3.204       -3.152        5.226       -4.498           0.           0.     -120.000
      4638.631        7.222       -7.524         .200        -.100     ×ó         -1.962       -2.162       -3.030       -2.930        5.260       -4.493           0.           0.     -120.000
      4639.221        7.351       -7.015         .200         .098     ×ó         -2.056       -2.256       -2.527       -2.625        5.295       -4.488           0.           0.     -120.000
      4639.810        7.541       -6.389         .400         .370     ×ó         -2.284       -2.684       -1.907       -2.277        5.258       -4.483           0.           0.     -120.000
      4640.400        7.474       -5.975         .643         .257     ×ó         -2.265       -2.908       -1.498       -1.754        5.209       -4.477           0.           0.     -120.000
      4640.990        7.431       -5.622        1.000        -.100     ×ó         -2.270       -3.270       -1.150       -1.050        5.161       -4.472           0.           0.     -120.000
      4641.580        7.084       -5.212        1.389        -.389     ×ó         -1.971       -3.360        -.745        -.357        5.113       -4.467           0.           0.     -120.000
      4642.170        6.598       -4.496        1.700        -.300     ×ó         -1.533       -3.233        -.034         .266        5.065       -4.462           0.           0.     -120.000
      4642.760        6.195       -3.913        2.035         .035     ×ó         -1.178       -3.212         .543         .509        5.017       -4.457           0.           0.     -120.000
      4643.350        5.660       -3.722        2.200         .207     ×ó          -.691       -2.891         .729         .522        4.969       -4.451           0.           0.     -120.000
      4643.940        5.185       -3.882        2.300         .200     ×ó          -.264       -2.564         .564         .364        4.921       -4.446           0.           0.     -120.000
      4644.529        4.765       -4.312        2.300         .000     ×ó           .108       -2.192         .129         .129        4.873       -4.441           0.           0.     -120.000
      4645.119        4.453       -4.499        2.300        -.100     ×ó           .371       -1.929        -.063         .037        4.824       -4.436           0.           0.     -120.000
      4645.709        4.185       -4.427        2.400        -.100     ×ó           .591       -1.809         .004         .104        4.776       -4.430           0.           0.     -120.100
      4646.299        4.109       -4.296        2.100         .272     ×ó           .619       -1.481         .129        -.143        4.728       -4.425           0.           0.     -120.000
      4646.889        4.103       -4.355        1.756         .844     ×ó           .577       -1.178         .065        -.780        4.680       -4.420           0.           0.     -120.000
      4647.479        4.322       -4.971        1.183        1.317     ×ó           .310        -.872        -.556       -1.874        4.632       -4.415           0.           0.     -120.000
      4648.069        4.801       -5.453         .710        1.300     ×ó          -.217        -.927       -1.044       -2.344        4.584       -4.410           0.           0.     -120.000
      4648.659        5.055       -5.459         .300        1.037     ×ó          -.519        -.819       -1.055       -2.091        4.536       -4.404           0.           0.     -120.000
      4649.248        5.191       -5.188         .064        1.036     ×ó          -.703        -.768        -.789       -1.825        4.488       -4.399           0.           0.     -120.000
      4649.838        5.158       -4.993        -.100        1.409     ×ó          -.719        -.619        -.599       -2.008        4.439       -4.394           0.           0.     -120.000
      4650.428        5.028       -4.834        -.182        1.700     ×ó          -.637        -.456        -.445       -2.145        4.391       -4.389           0.           0.     -120.000
      4651.018        5.077       -4.968        -.200        1.546     ×ó          -.734        -.534        -.585       -2.130        4.343       -4.383           0.           0.     -120.000
      4651.608        5.097       -5.125        -.173        1.000     ×ó          -.802        -.629        -.747       -1.747        4.295       -4.378           0.           0.     -120.000
      4652.198        5.256       -4.915         .100        1.500     ×ó         -1.009       -1.109        -.542       -2.042        4.247       -4.373           0.           0.     -120.000
      4652.788        4.979       -4.370         .573        1.200     ×ó          -.780       -1.353        -.002       -1.202        4.199       -4.368           0.           0.     -120.000
      4653.378        4.720       -3.975        1.046        1.546     ×ó          -.570       -1.616         .388       -1.158        4.151       -4.363           0.           0.     -120.000
      4653.968        4.710       -3.889        1.419        1.819     ×ó          -.608       -2.026         .469       -1.350        4.102       -4.357           0.           0.     -120.000
      4654.557        4.611       -3.718        1.600        1.900     ×ó          -.556       -2.156         .634       -1.266        4.054       -4.352           0.           0.     -120.000
      4655.147        4.634       -3.505        1.700        2.000     ×ó          -.628       -2.328         .842       -1.158        4.006       -4.347           0.           0.     -120.000
      4655.737        4.460       -3.645        1.700        1.863     ×ó          -.502       -2.202         .697       -1.166        3.958       -4.342           0.           0.     -120.000
      4656.327        4.122       -3.751        1.600        1.700     ×ó          -.212       -1.812         .585       -1.115        3.910       -4.336           0.           0.     -120.000
      4656.917        3.877       -4.075        1.500        1.600     ×ó          -.015       -1.515         .256       -1.343        3.862       -4.331           0.           0.     -120.000
      4657.507        3.651       -4.226        1.400        1.500     ×ó           .162       -1.238         .100       -1.400        3.814       -4.326           0.           0.     -120.000
      4658.097        3.721       -4.527        1.400        1.071     ×ó           .044       -1.356        -.206       -1.277        3.766       -4.321           0.           0.     -120.000
      4658.687        3.585       -4.820        1.300         .497     ×ó           .132       -1.168        -.504       -1.001        3.717       -4.316           0.           0.     -120.000
      4659.277        3.528       -5.238        1.200        -.249     ×ó           .141       -1.059        -.928        -.679        3.669       -4.310           0.           0.     -120.000
      4659.867        3.660       -5.592        1.100        -.747     ×ó          -.039       -1.139       -1.287        -.539        3.621       -4.305           0.           0.     -120.000
      4660.456        3.783       -5.335        1.100        -.280     ×ó          -.210       -1.310       -1.035        -.755        3.573       -4.300           0.           0.     -120.000
      4661.046        3.959       -4.869        1.100         .578     ×ó          -.434       -1.534        -.574       -1.153        3.525       -4.295           0.           0.     -120.000
      4661.636        4.088       -4.462        1.100        1.000     ×ó          -.611       -1.711        -.173       -1.173        3.477       -4.289           0.           0.     -120.000
      4662.226        4.136       -4.600         .962         .962     ×ó          -.707       -1.669        -.316       -1.277        3.429       -4.284           0.           0.     -120.000
      4662.816        4.173       -4.809         .900         .700     ×ó          -.793       -1.693        -.530       -1.230        3.381       -4.279           0.           0.     -120.100
      4663.406        4.317       -4.716         .700         .884     ×ó          -.984       -1.684        -.443       -1.327        3.332       -4.274           0.           0.     -120.000
      4663.996        4.376       -4.466         .543        1.614     ×ó         -1.092       -1.635        -.198       -1.812        3.284       -4.268           0.           0.     -120.000
      4664.586        4.361       -4.376         .370        1.800     ×ó         -1.125       -1.495        -.112       -1.912        3.236       -4.263           0.           0.     -120.000
      4665.175        4.149       -4.755         .097        1.595     ×ó          -.961       -1.058        -.497       -2.092        3.188       -4.258           0.           0.     -120.000
      4665.765        3.835       -5.406        -.200        1.224     ×ó          -.695        -.495       -1.154       -2.378        3.140       -4.253           0.           0.     -120.000
      4666.358        3.526       -5.891        -.500        1.151     ×ó          -.434         .066       -1.644       -2.794        3.091       -4.248           0.           0.     -120.000
      4666.951        3.224       -5.831        -.626        1.526     ×ó          -.181         .445       -1.588       -3.114        3.043       -4.242           0.           0.     -120.000
      4667.544        2.803       -5.577        -.700        2.000     ×ó           .192         .892       -1.340       -3.340        2.995       -4.237           0.           0.     -120.000
      4668.137        2.522       -5.505        -.800        2.377     ×ó           .424        1.224       -1.273       -3.650        2.946       -4.232           0.           0.     -120.000
      4668.730        2.124       -5.657        -.952        2.500     ×ó           .774        1.726       -1.430       -3.930        2.898       -4.227           0.           0.     -120.000
      4669.323        1.942       -5.742       -1.100        2.373     ×ó           .908        2.008       -1.521       -3.893        2.850       -4.221           0.           0.     -120.000
      4669.916        1.730       -5.670       -1.100        1.995     ×ó          1.072        2.172       -1.454       -3.449        2.801       -4.216           0.           0.     -120.000
      4670.509        1.672       -5.357       -1.100        1.422     ×ó          1.081        2.181       -1.146       -2.568        2.753       -4.211           0.           0.     -120.000
      4671.102        1.666       -4.883        -.900        1.200     ×ó          1.038        1.938        -.677       -1.877        2.704       -4.206           0.           0.     -120.000
      4671.695        1.823       -4.739        -.800        1.171     ×ó           .833        1.633        -.539       -1.710        2.656       -4.200           0.           0.     -120.000
      4672.288        2.205       -4.721        -.900         .696     ×ó           .403        1.303        -.526       -1.222        2.608       -4.195           0.           0.     -120.000
      4672.881        2.581       -4.653       -1.000        -.059     ×ó          -.021         .979        -.463        -.404        2.559       -4.190           0.           0.     -120.000
      4673.474        2.737       -4.212       -1.000        -.400     ×ó          -.226         .774        -.028         .372        2.511       -4.185           0.           0.     -120.000
      4674.067        2.815       -3.719        -.870         .030     ×ó          -.353         .517         .460         .430        2.462       -4.179           0.           0.     -120.000
      4674.660        3.012       -3.010        -.594         .706     ×ó          -.598        -.004        1.164         .458        2.414       -4.174           0.           0.     -120.000
      4675.253        3.198       -2.450        -.219        1.181     ×ó          -.833        -.614        1.719         .538        2.366       -4.169           0.           0.     -120.000
      4675.846        3.649       -2.249         .356         .800     ×ó         -1.331       -1.688        1.915        1.115        2.317       -4.164           0.           0.     -120.000
      4676.439        3.786       -1.908         .832         .768     ×ó         -1.517       -2.349        2.250        1.482        2.269       -4.158           0.           0.     -120.000
      4677.032        3.871       -1.634        1.200        1.821     ×ó         -1.650       -2.850        2.519         .698        2.221       -4.153           0.           0.     -120.000
      4677.625        3.685       -1.468        1.118        2.000     ×ó         -1.513       -2.631        2.679         .679        2.172       -4.148           0.           0.     -120.000
      4678.218        3.593       -2.074         .885        2.242     ×ó         -1.469       -2.354        2.069        -.173        2.124       -4.143           0.           0.     -120.100
      4678.811        3.616       -2.859         .367        2.400     ×ó         -1.541       -1.908        1.278       -1.122        2.075       -4.137           0.           0.     -120.000
      4679.404        3.502       -3.859         .000        2.200     ×ó         -1.475       -1.475         .273       -1.927        2.027       -4.132           0.           0.     -120.000
      4679.998        3.241       -4.715         .000        1.916     ×ó         -1.263       -1.263        -.588       -2.504        1.979       -4.127           0.           0.     -120.000
      4680.591        2.830       -5.248         .059        1.800     ×ó          -.900        -.959       -1.126       -2.926        1.930       -4.122           0.           0.     -120.000
      4681.184        2.430       -5.767         .200        1.800     ×ó          -.548        -.748       -1.651       -3.451        1.882       -4.116           0.           0.     -120.000
      4681.776        2.163       -6.070         .210        1.810     ×ó          -.330        -.539       -1.959       -3.769        1.833       -4.111           0.           0.     -120.000
      4682.369        1.936       -6.197         .300        2.085     ×ó          -.151        -.451       -2.091       -4.177        1.785       -4.106           0.           0.     -120.000
      4682.962        1.938       -5.642         .400        2.260     ×ó          -.201        -.601       -1.542       -3.802        1.737       -4.101           0.           0.     -120.000
      4683.556        2.022       -4.812         .400        2.636     ×ó          -.334        -.734        -.716       -3.352        1.688       -4.095           0.           0.     -120.000
      4684.149        2.222       -4.008         .400        2.900     ×ó          -.583        -.983         .082       -2.818        1.640       -4.090           0.           0.     -119.900
      4684.742        2.161       -3.380         .600        3.000     ×ó          -.570       -1.170         .705       -2.295        1.592       -4.085           0.           0.     -120.000
      4685.334        2.232       -2.791         .600        3.062     ×ó          -.689       -1.289        1.288       -1.773        1.543       -4.080           0.           0.     -120.000
      4685.927        2.430       -2.120         .600        3.100     ×ó          -.935       -1.535        1.955       -1.145        1.495       -4.074           0.           0.     -120.000
      4686.520        2.441       -1.652         .500        3.188     ×ó          -.995       -1.495        2.417        -.770        1.446       -4.069           0.           0.     -120.000
      4687.114        2.599       -1.395         .300        3.000     ×ó         -1.201       -1.501        2.668        -.332        1.398       -4.064           0.           0.     -119.900
      4687.707        2.553       -1.342         .200        2.637     ×ó         -1.203       -1.403        2.716         .079        1.350       -4.059           0.           0.     -120.000
      4688.300        2.345       -1.590         .100        2.400     ×ó         -1.044       -1.144        2.463         .063        1.301       -4.053           0.           0.     -120.000
      4688.893        2.022       -1.760         .100        2.400     ×ó          -.769        -.869        2.288        -.112        1.253       -4.048           0.           0.     -120.000
      4689.486        1.931       -2.034         .100        2.400     ×ó          -.727        -.827        2.009        -.391        1.204       -4.043           0.           0.     -120.000
      4690.079        1.758       -2.599         .100        2.400     ×ó          -.602        -.702        1.439        -.961        1.156       -4.038           0.           0.     -120.000
      4690.672        1.505       -3.357        -.040        2.060     ×ó          -.397        -.357         .676       -1.384        1.108       -4.032           0.           0.     -120.000
      4691.265        1.224       -4.360        -.300        1.169     ×ó          -.165         .135        -.333       -1.502        1.059       -4.027           0.           0.     -120.000
      4691.858         .966       -4.861        -.400         .319     ×ó           .045         .445        -.839       -1.158        1.011       -4.022           0.           0.     -120.000
      4692.451         .672       -5.295        -.500        -.100     ×ó           .291         .791       -1.279       -1.179         .963       -4.017           0.           0.     -120.000
      4693.044         .416       -5.591        -.300        -.300     ×ó           .499         .799       -1.580       -1.280         .914       -4.011           0.           0.     -120.100
      4693.637         .330       -5.604        -.300        -.200     ×ó           .536         .836       -1.598       -1.398         .866       -4.006           0.           0.     -120.000
      4694.230         .235       -5.487        -.200        -.100     ×ó           .583         .783       -1.486       -1.386         .817       -4.001           0.           0.     -120.000
      4694.823         .202       -5.124        -.100         .167     ×ó           .567         .667       -1.129       -1.296         .769       -3.996           0.           0.     -120.000
      4695.416         .317       -4.725         .000         .700     ×ó           .404         .404        -.735       -1.435         .721       -3.990           0.           0.     -120.000
      4696.009         .374       -4.121         .100         .900     ×ó           .298         .198        -.136       -1.036         .672       -3.985           0.           0.     -120.100
      4696.602         .474       -3.471        -.100         .900     ×ó           .150         .250         .509        -.391         .624       -3.980           0.           0.     -120.000
      4697.195         .563       -3.254        -.469         .663     ×ó           .012         .481         .721         .058         .575       -3.975           0.           0.     -120.000
      4697.788         .708       -2.968        -.944         .256     ×ó          -.181         .763        1.002         .746         .527       -3.969           0.           0.     -120.000
      4698.381         .902       -2.590       -1.539        -.200     ×ó          -.423        1.115        1.374        1.574         .479       -3.964           0.           0.     -120.000
      4698.974         .936       -2.257       -2.095        -.005     ×ó          -.505        1.589        1.702        1.707         .430       -3.959           0.           0.     -120.000
      4699.567        1.040       -1.975       -2.700         .370     ×ó          -.614        2.086        1.978        1.608         .425       -3.954           0.           0.     -120.000
      4700.162        1.099       -1.438       -3.247         .700     ×ó          -.628        2.619        2.510        1.810         .471       -3.948           0.           0.     -120.000
      4700.757        1.111       -1.258       -3.700         .900     ×ó          -.595        3.105        2.685        1.785         .516       -3.943           0.           0.     -120.000
      4701.352        1.038       -1.500       -4.000        1.100     ×ó          -.476        3.524        2.438        1.338         .561       -3.938           0.           0.     -120.000
      4701.947        1.035       -1.456       -4.178        2.256     ×ó          -.429        3.749        2.477         .220         .607       -3.932           0.           0.     -120.000
      4702.542        1.015       -1.395       -4.145        2.400     ×ó          -.363        3.781        2.532         .132         .652       -3.927           0.           0.     -120.000
      4703.137         .837       -1.656       -3.800        1.968     ×ó          -.140        3.660        2.266         .298         .697       -3.922           0.           0.     -120.000
      4703.733         .573       -2.091       -3.291        1.690     ×ó           .169        3.460        1.825         .135         .743       -3.917           0.           0.     -120.000
      4704.328         .237       -2.159       -2.613        1.500     ×ó           .551        3.164        1.752         .252         .788       -3.911           0.           0.     -120.000
      4704.923        -.079       -2.339       -1.773        1.500     ×ó           .912        2.685        1.568         .068         .833       -3.906           0.           0.     -120.000
      4705.518        -.338       -2.468       -1.119        1.841     ×ó          1.217        2.336        1.433        -.407         .878       -3.901           0.           0.     -120.100
      4706.113        -.492       -2.472        -.982        2.100     ×ó          1.416        2.398        1.423        -.677         .924       -3.896           0.           0.     -119.900
      4706.708        -.626       -2.439        -.700        2.200     ×ó          1.595        2.295        1.451        -.749         .969       -3.890           0.           0.     -120.000
      4707.303        -.731       -2.487        -.528        2.300     ×ó          1.745        2.273        1.398        -.902        1.014       -3.885           0.           0.     -120.000
      4707.898        -.797       -2.467        -.400        2.400     ×ó          1.856        2.256        1.413        -.987        1.060       -3.880           0.           0.     -120.000
      4708.493        -.659       -2.450        -.200        2.526     ×ó          1.764        1.964        1.425       -1.101        1.105       -3.874           0.           0.     -120.000
      4709.089        -.512       -2.642        -.200        2.700     ×ó          1.663        1.863        1.227       -1.473        1.150       -3.869           0.           0.     -120.000
      4709.684        -.193       -2.886        -.200        2.880     ×ó          1.388        1.588         .978       -1.902        1.195       -3.864           0.           0.     -120.000
      4710.279         .170       -2.837        -.400        2.800     ×ó          1.071        1.471        1.022       -1.778        1.241       -3.859           0.           0.     -120.000
      4710.874         .574       -2.693        -.600        2.566     ×ó           .712        1.312        1.161       -1.405        1.286       -3.853           0.           0.     -120.000
      4711.469         .898       -2.449        -.811        2.278     ×ó           .433        1.244        1.399        -.879        1.331       -3.848           0.           0.     -120.000
      4712.064         .982       -2.363       -1.088        1.800     ×ó           .395        1.483        1.480        -.320        1.377       -3.843           0.           0.     -120.000
      4712.659        1.077       -2.574       -1.300        1.800     ×ó           .345        1.645        1.264        -.536        1.422       -3.838           0.           0.     -120.000
      4713.255        1.032       -2.538       -1.342        2.000     ×ó           .435        1.777        1.294        -.706        1.467       -3.832           0.           0.     -120.100
      4713.850        1.054       -2.798       -1.600        2.200     ×ó           .458        2.058        1.029       -1.171        1.512       -3.827           0.           0.     -119.900
      4714.445        1.007       -2.823       -1.304        2.300     ×ó           .551        1.855         .998       -1.302        1.558       -3.822           0.           0.     -120.000
      4715.040         .813       -2.890       -1.127        2.300     ×ó           .790        1.917         .927       -1.373        1.603       -3.817           0.           0.     -120.000
      4715.635         .590       -2.910       -1.000        2.250     ×ó          1.058        2.058         .901       -1.349        1.648       -3.811           0.           0.     -120.000
      4716.230         .249       -2.924       -1.000        2.400     ×ó          1.445        2.445         .882       -1.518        1.694       -3.806           0.           0.     -120.000
      4716.825         .094       -2.946       -1.100        2.500     ×ó          1.645        2.745         .855       -1.645        1.739       -3.801           0.           0.     -120.000
      4717.420         .112       -2.645       -1.200        2.400     ×ó          1.673        2.873        1.150       -1.250        1.784       -3.795           0.           0.     -120.000
      4718.016         .084       -2.520       -1.100        2.300     ×ó          1.745        2.845        1.270       -1.030        1.829       -3.790           0.           0.     -120.000
      4718.611         .113       -2.157        -.965        2.300     ×ó          1.761        2.726        1.628        -.672        1.875       -3.785           0.           0.     -120.000
      4719.206        -.020       -2.082        -.800        2.100     ×ó          1.940        2.740        1.698        -.402        1.920       -3.780           0.           0.     -120.000
      4719.801        -.057       -2.248        -.800        2.100     ×ó          2.023        2.823        1.526        -.574        1.965       -3.774           0.           0.     -120.000
      4720.396        -.105       -2.520        -.900        2.100     ×ó          2.116        3.016        1.251        -.849        2.011       -3.770           0.           0.     -120.000
      4720.991        -.233       -2.718        -.800        1.944     ×ó          2.289        3.089        1.047        -.897        2.056       -3.765           0.           0.     -120.100
      4721.586        -.184       -2.926       -1.100        2.000     ×ó          2.285        3.385         .833       -1.167        2.101       -3.760           0.           0.     -120.000
      4722.181        -.103       -3.493       -1.298        2.000     ×ó          2.250        3.547         .261       -1.739        2.146       -3.754           0.           0.     -120.000
